x,y,z,label
2.6766598,-0.7299046,-1.0655459,4
3.0109618,0.3707576,-0.6224826,4
2.6121168,0.76430094,-0.92220825,4
2.6958249,5.9240766,-1.7958091,5
1.6569268,7.25571,-1.6309882,5
1.7632451,7.101624,-1.7015165,5
8.941586,-1.0767927,3.4647436,0
8.849939,-0.85748166,3.6808841,0
8.879267,-0.9138243,3.7647746,0
5.4632635,-1.4791082,0.26661843,4
5.9037457,-1.2128285,0.69524574,4
6.0356545,-0.8569432,0.49486694,4
1.6743662,6.7817864,-1.6922356,5
1.2833256,6.8799157,-1.6519601,5
1.4310023,6.9862823,-1.6173047,5
-4.6646414,5.0889177,1.3993841,6
-5.762734,3.424308,1.897448,6
-5.496166,4.319065,1.8052067,6
8.394109,0.021189984,1.94071,0
8.280066,-0.10499596,1.8483071,0
8.422671,-0.4903098,2.2557082,0
9.22792,-0.09796841,2.1126633,0
9.033942,-0.18438499,1.9921113,0
9.1173115,-0.0118446415,2.166709,0
-3.4673622,-5.35552,-4.0387073,3
-2.8044252,-5.8069015,-4.440258,3
-3.352288,-5.8561635,-3.9010446,3
4.671759,-2.5584815,-1.3522792,4
8.148519,-1.6038637,1.6164963,4
8.825491,-1.1753247,1.8752341,4
-5.1275926,4.2478623,2.106594,1
-5.914517,3.532706,2.4402318,1
-5.3706837,4.6624584,2.2165384,1
1.9257052,5.9336963,-1.4396186,5
1.4203016,7.2056336,-1.4387695,5
1.2441273,7.2079315,-1.3905107,5
-6.868053,0.9423322,2.5078206,6
-6.5713224,0.74909365,2.3096862,6
-7.001738,0.43515095,2.4280522,6
9.000857,-0.2757882,4.380926,0
9.045647,-0.05376534,4.3487005,0
9.027288,-0.02851729,4.3711367,0
0.770897,-5.1290636,-3.5607708,3
-0.0018790235,-5.352872,-3.1428566,3
0.40439105,-5.384842,-3.2305417,3
3.705171,1.192909,-2.1504998,4
3.0424361,2.008248,-2.49468,4
3.289212,1.3566912,-2.2080727,4
-0.8675538,3.3267531,-0.45633224,5
-1.2680753,4.3078403,-0.80440617,5
-1.0453634,4.4456744,-0.85640377,5
-5.626951,1.9497203,1.4061097,6
-5.7976766,1.78967,1.3803061,6
-5.686234,2.4915092,1.4076668,6
7.521506,-2.4364567,1.856602,0
6.857533,-2.8266735,1.6010631,0
7.0317,-2.6835232,1.6431769,0
9.220029,-1.7642976,2.518366,0
8.945778,-1.8895333,1.9653214,0
9.0537815,-1.7972175,2.1906388,0
-2.1341753,1.3375552,-1.513614,4
-1.0600238,3.4100213,-2.1579864,4
-1.8672467,4.110296,-1.3054035,4
-1.0599767,-3.2045963,-0.029492985,4
0.74463207,-2.7082899,-0.44742614,4
-0.41577372,-3.0365956,-0.34588972,4
-5.0031266,6.0542626,1.8920894,1
-5.2267275,5.788508,2.010213,1
-5.4006033,5.569631,2.109227,1
0.06026789,7.537282,-1.3291197,5
-0.8029363,7.3593855,-1.0494177,5
-0.76800925,7.4053326,-1.0273134,5
8.811963,-1.4883178,3.561294,0
8.966681,-1.0930365,4.120839,0
8.8449,-1.5789145,4.108965,0
-2.954583,-3.775192,-4.3542533,4
-3.3509924,-3.4262764,-4.2290683,4
-3.3005137,-3.1118298,-4.314379,4
-5.912005,1.387185,2.2679589,1
-6.1350455,1.398603,2.287273,1
-6.4455957,1.2622709,2.479917,1
-1.9404435,0.3397498,0.11383287,5
-3.1799662,0.0373462,0.16321239,5
-2.6958702,0.89859104,-0.0067389244,5
-6.6927934,-3.628447,1.4490429,6
-6.812974,-3.9618123,1.4202342,6
-6.9175997,-3.8365207,1.3697132,6
8.714869,-1.804891,2.8412237,0
8.583287,-1.8295351,2.0571544,0
8.550877,-2.141124,2.4561894,0
7.637551,-2.894188,3.9335208,0
7.5854707,-2.8073585,3.3269205,0
6.9308724,-3.3814826,3.0666287,0
1.9755123,-2.2177336,-6.8116055,3
1.330456,-2.4091861,-6.548201,3
1.8246009,-1.8924913,-6.821037,3
-6.30797,3.3907573,2.2982166,1
-6.610839,3.113117,2.2598357,1
-6.638076,2.866187,2.2232468,1
-1.4588958,6.7951035,-0.6477136,5
-0.69017154,6.472598,-0.8576762,5
-0.80259556,6.3797007,-0.8227611,5
-6.4268084,0.14239535,1.908198,6
-7.0185213,-0.81063104,2.0562735,6
-6.828286,-0.3537286,2.1596632,6
9.171153,-1.0220546,3.0560987,0
9.141005,-0.8565323,3.3484442,0
9.20078,-0.6686324,3.1552665,0
-3.708297,1.803248,0.24436438,5
-3.266539,2.5287225,-0.109522395,5
-3.458615,2.9552574,0.032175828,5
-6.91222,-3.8997936,0.5495282,6
-7.3344955,-2.8078454,1.2394623,6
-7.294034,-3.0241385,1.2606597,6
7.506028,-2.9414406,1.6992214,0
7.106136,-3.0935955,1.6099308,0
7.364873,-2.744868,0.6450824,0
-3.962724,5.7663736,1.2459508,1
-4.231267,5.3081517,1.3785549,1
-3.3588645,6.4689503,0.90621996,1
-0.24610582,7.628235,-1.2459747,5
-0.8765202,7.6855707,-1.0943906,5
-0.29711002,7.380824,-1.3650306,5
-6.4159403,2.914099,2.089358,6
-6.5538464,2.6973047,2.2159233,6
-6.4273534,2.7626257,2.1904018,6
7.886645,0.901123,1.1441095,0
7.5947366,1.0326434,1.0307022,0
7.4752364,1.4177183,0.8149694,0
-0.75804335,-5.6862245,-5.9185567,3
-0.38577774,-5.3475285,-5.9531446,3
0.060730223,-5.4146833,-6.063754,3
-5.3281546,-4.2094126,1.7382609,2
-5.8394322,-4.1157775,2.127801,2
-5.833877,-3.8543086,2.0995111,2
-0.06325761,5.552224,-1.3491861,5
-0.8862629,5.999898,-1.114786,5
-0.5816062,5.9700794,-1.2899544,5
-0.63717246,5.9985065,-1.8289319,5
-1.1130947,5.519976,-1.6767457,5
-0.760358,5.813231,-1.6722347,5
8.623659,-0.50434583,1.159504,0
9.077812,-0.85385334,2.1245532,0
8.588269,-0.5438237,1.2607675,0
8.309671,-1.1189904,1.7869617,0
8.060401,-0.6579694,0.83531404,0
8.566268,-0.58730984,1.4155182,0
3.476205,-2.7058198,-1.8092222,3
3.820346,-1.5931412,-1.4758582,3
2.5569537,-2.4620683,-1.8814833,3
1.8388922,-3.1276941,-3.0112345,4
0.9159648,-3.5220997,-2.873476,4
1.127713,-3.3234513,-2.8142984,4
-2.6720488,5.6967487,0.8642537,1
-4.075087,5.636278,1.3014122,1
-3.6558423,5.7032657,1.1411583,1
1.8333815,5.351117,-1.2356503,5
1.5838054,5.556062,-1.4375539,5
1.5920763,5.970762,-1.5298045,5
9.461076,0.28307167,2.505593,0
8.97938,0.9668754,0.90389895,0
9.03781,0.58640826,1.4310036,0
9.315002,-0.66951066,2.3138566,0
8.835649,-0.8684578,1.69634,0
8.845358,-0.944718,0.5811251,0
-2.8467364,-5.0759535,-3.9268448,3
-3.03414,-5.756328,-3.9763808,3
-2.9532459,-5.9044023,-4.20138,3
-3.78616,-5.526954,-2.6879587,3
-3.2123346,-4.8660245,-2.7856655,3
-3.1576767,-4.7685175,-2.4708257,3
-3.667698,-2.4349597,-1.2954721,4
-4.8597174,-2.8761957,-0.7936619,4
-5.098895,-2.8628385,-0.65852535,4
-3.3273785,4.5823827,0.7445433,1
-4.665426,3.8678122,1.4259803,1
-4.2320204,3.979969,1.1849002,1
0.7205828,4.4884367,-1.1813632,5
-0.15440667,4.743914,-1.0675321,5
0.33271334,5.4954333,-1.2736785,5
-6.744337,-0.9842191,2.2239003,6
-6.8389683,-1.0877672,2.2945752,6
-6.860235,-0.83636826,2.3743122,6
9.269427,-0.75366163,3.4874055,0
9.224214,-0.62105876,3.7040265,0
9.200476,-0.62635434,3.627755,0
-4.8907814,-3.0202172,-2.2046032,4
-4.3275685,-1.4472427,-2.2312536,4
-4.9926133,-1.7686913,-2.0032895,4
-5.090371,5.5679474,1.945728,1
-4.638381,6.073242,1.7498198,1
-4.4733405,6.1221967,1.6395324,1
-1.3391571,7.4597507,-0.0571226,5
-1.9601766,7.0816493,0.14770754,5
-1.3007696,7.1693373,-0.15263383,5
-6.5164037,-2.3850741,2.3364372,6
-6.633036,-2.1162195,2.6093442,6
-6.7036805,-1.6221985,2.7862794,6
9.5803795,-0.5637991,2.211589,0
9.451528,0.14119606,2.030258,0
9.507551,0.3028978,2.4589217,0
-0.57042724,-1.5880854,-3.2645984,4
-1.5471784,-1.0267743,-3.2028315,4
-1.3944265,-0.85748863,-3.2827866,4
-4.671344,1.964146,1.6368542,1
-5.0009937,1.8113831,1.7385485,1
-4.8649483,2.2972524,1.6923777,1
-0.26693687,3.6375237,-0.40558177,5
-0.83699214,4.714348,-0.658167,5
-1.2615699,4.0040455,-0.41704154,5
-6.4100566,-0.17625691,2.3511517,6
-6.5878873,0.13758484,2.3729758,6
-6.541262,0.47877494,2.4209888,6
8.663507,-2.2756748,1.3584806,0
8.384084,-2.6108043,1.4829564,0
8.24992,-2.5400906,1.099436,0
0.17841335,1.5858127,-2.1316833,4
-1.1308432,1.3398602,-1.9810196,4
-1.7720207,0.8946746,-1.9339224,4
-3.4956067,7.044925,1.0596496,1
-4.1527452,6.788258,1.4888773,1
-3.8144026,7.197531,1.2718594,1
1.9246376,6.7672825,-1.2287276,5
1.3304483,6.91351,-1.0940428,5
1.6978952,6.996773,-1.2141547,5
-7.1056023,-2.6441627,2.020224,6
-7.087548,-3.1226234,2.0367358,6
-7.153229,-2.7991786,2.0204275,6
-6.6755123,-1.9252251,1.5365127,6
-6.7214527,-0.94427854,1.8934041,6
-6.554035,-1.4917624,1.7956283,6
8.893098,-1.3342831,1.8992182,0
8.963409,-1.6768286,2.9533644,0
8.863633,-1.7080303,2.314518,0
0.9912387,-4.673714,-7.3100677,3
-0.012900775,-5.3158045,-6.9474807,3
0.70384336,-4.842878,-7.1337366,3
-2.7943258,-1.8949991,-2.7475445,4
-2.8859289,-1.6621474,-2.953945,4
-2.9965339,-0.92683876,-2.932535,4
-1.9694034,-0.7367088,-3.705219,4
-3.8061142,-0.48106697,-2.900318,4
-3.004907,0.716955,-3.0894113,4
-5.439471,1.643116,1.9986528,1
-5.726139,2.1713161,2.088833,1
-5.742932,2.1118538,2.0164738,1
-0.49293065,0.5914533,-1.5540632,5
-1.5615232,0.78243446,-1.6892749,5
-1.2301517,0.5225173,-1.6109992,5
6.837604,-0.26770246,-1.7762064,0
5.889335,0.275241,-2.8666577,0
5.538046,0.33135137,-3.2522578,0
2.6615417,0.5784114,-5.7103076,4
